Name,Team,Age,Season,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,PlayerId
"Pedro Florimon","Braves (AAA)",32,2019,120,407,475,108,77,15,4,12,62,68,60,0,135,2,6,0,14,2,1,0.265356265,0.357894736,0.41031941,0.768214146,0.33948720517911407,0.126315789,0.284210526,"8385"
"Danny Espinosa","Mets (AAA)",32,2019,129,473,542,121,74,27,0,20,75,84,51,3,132,10,5,3,13,17,4,0.255813953,0.337662337,0.4397463,0.777408637,0.335522191293204,0.09409594,0.243542435,"9219"
"Brandon Snyder","Nationals (AAA)",32,2019,116,417,458,107,52,24,0,31,75,80,26,1,153,11,4,0,11,3,1,0.256594724,0.31441048,0.537170263,0.851580743,0.34619741653717845,0.056768558,0.334061135,"9856"
"Zach Reks","Dodgers (AAA)",25,2019,89,331,385,94,55,19,1,19,57,71,48,0,104,5,1,0,3,2,0,0.283987915,0.381818181,0.519637462,0.901455643,0.38151403696506053,0.124675324,0.27012987,"sa3004166"
"Matthew Batten","Padres (AAA)",24,2019,109,354,393,106,77,20,3,6,59,48,28,1,86,3,5,3,7,7,8,0.299435028,0.351282051,0.423728813,0.775010864,0.3348995496190912,0.071246819,0.218829516,"sa3004179"
"Elliot Soto","Rockies (AAA)",29,2019,112,410,463,125,83,22,10,10,79,50,45,0,91,5,1,2,5,8,5,0.304878048,0.379609544,0.480487804,0.860097348,0.3696264302652984,0.097192224,0.196544276,"sa390666"
"Ali Castillo","Phillies (AAA)",30,2019,113,415,454,131,98,22,4,7,60,58,27,0,55,1,7,4,13,4,4,0.31566265,0.353333333,0.438554216,0.791887549,0.3434858383072747,0.059471365,0.121145374,"sa507143"
"Drew Maggi","Twins (AAA)",30,2019,108,388,472,100,67,19,4,10,71,46,60,1,96,20,1,3,3,9,3,0.257731958,0.383795309,0.404639175,0.788434484,0.3550788246923023,0.127118644,0.20338983,"sa549144"
"Mark Payton","Athletics (AAA)",27,2019,118,395,447,132,69,30,3,30,80,97,45,0,76,1,4,2,5,7,4,0.334177215,0.4,0.653164556,1.053164556,0.4277366989114311,0.10067114,0.170022371,"sa549855"
"Jecksson Flores","Royals (AAA)",25,2019,116,410,479,102,79,14,1,8,48,52,42,0,75,6,7,13,6,17,5,0.248780487,0.322580645,0.346341463,0.668922108,0.2983299337407594,0.087682672,0.1565762,"sa597007"
"Jack Lopez","Braves (AAA)",26,2019,96,359,390,98,70,16,0,12,62,57,19,0,91,6,4,2,10,9,2,0.272980501,0.317010309,0.417827298,0.734837607,0.3183134698990694,0.048717948,0.233333333,"sa598270"
"Jose Marmolejos","Nationals (AAA)",26,2019,101,352,382,111,64,29,2,16,53,63,28,2,80,1,1,0,8,1,0,0.315340909,0.366492146,0.545454545,0.911946691,0.37870265041526996,0.073298429,0.209424083,"sa598311"
"Drew Weeks","Rockies (AAA)",26,2019,125,396,442,113,63,23,7,20,73,75,31,0,74,7,4,3,8,6,7,0.285353535,0.344748858,0.53030303,0.875051888,0.36225982507069904,0.070135746,0.167420814,"sa602429"
"Malquin Canelo","Phillies (AAA)",24,2019,128,423,473,111,80,27,2,2,57,35,32,3,137,5,3,10,5,8,10,0.262411347,0.319654427,0.349881796,0.669536223,0.29658613386361493,0.067653276,0.289640591,"sa657479"
"Jorge Mateo","Athletics (AAA)",24,2019,119,532,566,154,92,29,14,19,95,78,29,1,145,4,1,0,5,24,11,0.289473684,0.330388692,0.503759398,0.83414809,0.34680840315017025,0.051236749,0.256183745,"sa657910"
"Jacob Robson","Tigers (AAA)",24,2019,112,409,473,109,76,21,3,9,61,52,53,1,132,3,4,4,2,25,10,0.266503667,0.351812366,0.398533007,0.750345373,0.3321847136204059,0.112050739,0.279069767,"sa658804"
"Trent Giambrone","Cubs (AAA)",25,2019,126,431,478,104,54,27,0,23,66,66,42,2,131,4,0,1,10,17,4,0.241299303,0.314465408,0.464037122,0.77850253,0.32587251161274156,0.087866108,0.274058577,"sa658813"
"Elier Hernandez","Royals (AAA)",24,2019,112,396,428,97,72,13,2,10,50,36,25,0,116,4,1,2,15,8,5,0.244949494,0.295774647,0.363636363,0.65941101,0.28737607262503934,0.058411214,0.271028037,"sa659238"
"Cole Sturgeon","Red Sox (AAA)",27,2019,97,343,379,95,66,17,2,10,43,43,24,0,86,7,3,2,10,6,3,0.27696793,0.334217506,0.425655976,0.759873482,0.3309277008319723,0.063324538,0.226912928,"sa709546"
"Yadiel Hernandez","Nationals (AAA)",31,2019,126,439,508,142,86,22,1,33,87,90,63,5,106,1,5,0,10,7,5,0.323462414,0.405511811,0.603644646,1.009156457,0.4132278144478087,0.124015748,0.208661417,"sa724030"
"Jantzen Witte","Red Sox (AAA)",29,2019,112,393,436,109,79,22,0,8,45,49,34,0,82,5,4,0,12,8,4,0.277353689,0.339449541,0.394402035,0.733851576,0.32426510587197926,0.077981651,0.188073394,"sa738324"
"Nick Longhi","Reds (AAA)",23,2019,111,389,424,110,67,28,3,12,51,51,30,1,102,2,2,1,10,0,1,0.282776349,0.335697399,0.462724935,0.798422334,0.34222736361467443,0.070754716,0.240566037,"sa738434"
"Eli White","Rangers (AAA)",25,2019,116,438,499,111,72,20,5,14,63,43,43,0,138,14,3,1,9,14,5,0.253424657,0.337349397,0.417808219,0.755157616,0.3279640726056922,0.086172344,0.276553106,"sa738478"
"Will Craig","Pirates (AAA)",24,2019,131,494,556,123,77,23,0,23,69,78,44,1,146,14,4,0,15,2,3,0.248987854,0.325539568,0.435222672,0.76076224,0.32922976843945617,0.07913669,0.262589928,"sa738696"
"Michael Gettys","Padres (AAA)",23,2019,128,507,551,130,65,29,5,31,97,91,33,1,168,5,6,0,4,14,6,0.256410256,0.304900181,0.516765285,0.821665466,0.3343095925721255,0.059891107,0.304900181,"sa828692"
